word	chosen_tier	also_fits	alternative_split
𐤁𐤁𐤋	exact	proclitic	𐤁 + 𐤁𐤋
𐤅𐤄𐤋𐤃𐤕	plene	proclitic	𐤅 + 𐤄𐤋𐤃𐤕
𐤄𐤌𐤔𐤉𐤇	exact	proclitic	𐤄 + 𐤌𐤔𐤉𐤇
𐤌𐤓𐤉𐤌	exact	proclitic	𐤌 + 𐤓𐤉𐤌
𐤋𐤉𐤅𐤎𐤐	exact	proclitic	𐤋 + 𐤉𐤅𐤎𐤐
𐤅𐤁𐤈𐤓𐤌	exact	plene	𐤁𐤈𐤓𐤌
𐤀𐤋𐤉𐤄	exact	plene	𐤀𐤋𐤄
𐤍𐤌𐤑𐤀𐤕	exact	plene	𐤍𐤌𐤑𐤀𐤕𐤉
𐤋𐤓𐤅𐤇	exact	proclitic	𐤋 + 𐤓𐤅𐤇
𐤄𐤒𐤃𐤔	exact	proclitic	𐤄 + 𐤒𐤃𐤔
𐤅𐤉𐤅𐤎𐤐	exact	proclitic	𐤅 + 𐤉𐤅𐤎𐤐
𐤁𐤏𐤋𐤄	exact	plene	𐤅𐤁𐤏𐤋𐤄
𐤄𐤉𐤄	exact	proclitic	𐤄 + 𐤉𐤄
𐤅𐤋𐤀	exact	proclitic	𐤅 + 𐤋𐤀
𐤀𐤁𐤄	exact	plene	𐤅𐤀𐤉𐤁𐤄
𐤋𐤕𐤕𐤄	exact	proclitic	𐤋 + 𐤕𐤕𐤄
𐤋𐤁𐤅𐤆	exact	proclitic	𐤋 + 𐤁𐤅𐤆
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤁𐤋𐤁𐤅	exact	proclitic	𐤁 + 𐤋𐤁𐤅
𐤋𐤔𐤋𐤇𐤄	exact	proclitic	𐤋 + 𐤔𐤋𐤇𐤄
𐤁𐤎𐤕𐤓	exact	proclitic	𐤁 + 𐤎𐤕𐤓
𐤊𐤆𐤀𐤕	exact	proclitic	𐤊 + 𐤆𐤀𐤕
𐤅𐤄𐤍𐤄	exact	plene	𐤄𐤍𐤄
𐤌𐤋𐤀𐤊	exact	proclitic	𐤌 + 𐤋 + 𐤀𐤊
𐤍𐤓𐤀𐤄	exact	plene	𐤅𐤍𐤓𐤀𐤄
𐤁𐤇𐤋𐤅𐤌	exact	proclitic	𐤁 + 𐤇𐤋𐤅𐤌
𐤅𐤉𐤀𐤌𐤓	exact	proclitic	𐤅 + 𐤉𐤀𐤌𐤓
𐤌𐤊𐤍𐤅𐤎	plene	proclitic	𐤌 + 𐤊𐤍𐤅𐤎
