SN-vs-root consistency audit
========================================================================
Database:      /home/claude/paleo-studio/surface-index.db
Strongs-roots: server/lexicon/strongs-roots.json

Totals
------
Rows scanned:                              23,737
Rows where tagged SN's root letters are
  NOT all present in the surface form:     5,753
Of those, with a plausible alternative:    5,701
  - found in all_strongs (co-attested):    445
  - found via broad search only:           5,256

HIGH confidence (413)
------------------------------------------------------------------------
Exactly one alternative SN co-attested for this surface in the corpus.
Safest candidates for the override file.

  word_raw        tagged    tagged_root       suggested  suggested_root  pos
  𐤉𐤄𐤅𐤃𐤏𐤍𐤍𐤉  H5974     𐤅𐤃𐤏𐤍        H3046     𐤉𐤃𐤏          verb
  𐤉𐤇𐤋          H2490     𐤇𐤋𐤋          H3176     𐤉𐤇𐤋          verb
  𐤉𐤇𐤋𐤑𐤍𐤉    H1252     𐤇𐤋𐤑          H2502     𐤇𐤋𐤑          verb
  𐤉𐤇𐤌𐤅        H2552     𐤇𐤌𐤌          H3179     𐤉𐤇𐤌          verb
  𐤉𐤈𐤓𐤐        H1589     𐤂𐤍𐤁          H2963     𐤈𐤓𐤐          verb
  𐤉𐤊𐤅𐤍𐤍𐤅    H6635     𐤊𐤅𐤍𐤍        H3559     𐤊𐤅𐤍          verb
  𐤉𐤊𐤋          H3615     𐤊𐤋𐤄          H3201     𐤉𐤊𐤋          verb
  𐤉𐤋𐤃𐤕𐤉𐤊    H3208     𐤉𐤋𐤃𐤅𐤕      H3205     𐤉𐤋𐤃          subs
  𐤉𐤋𐤏𐤂𐤅      H3068     𐤉𐤄𐤅𐤄        H3932     𐤋𐤏𐤂          verb
  𐤉𐤌𐤋𐤅        H5243     𐤍𐤌𐤋          H4135     𐤌𐤅𐤋          verb
  𐤉𐤌𐤌          H3117     𐤉𐤅𐤌          H3222     𐤉𐤌            subs
  𐤉𐤍𐤑𐤋        H4725     𐤌𐤒𐤅𐤌        H5337     𐤍𐤑𐤋          verb
  𐤉𐤎𐤃𐤕        H3394     𐤉𐤓𐤇          H3245     𐤉𐤎𐤃          verb
  𐤉𐤎𐤓          H5493     𐤎𐤅𐤓          H3256     𐤉𐤎𐤓          verb
  𐤉𐤎𐤓𐤄        H5493     𐤎𐤅𐤓          H3256     𐤉𐤎𐤓          verb
  𐤉𐤏𐤈          H5844     𐤏𐤈𐤄          H5860     𐤏𐤉𐤈          verb
  𐤉𐤏𐤌𐤉𐤃𐤍𐤉  H5154     𐤍𐤇𐤅𐤔𐤄      H5975     𐤏𐤌𐤃          verb
  𐤉𐤏𐤔𐤍        H423      𐤀𐤋𐤄          H6225     𐤏𐤔𐤍          verb
  𐤉𐤐𐤅𐤑𐤅      H6227     𐤏𐤔𐤍          H6327     𐤐𐤅𐤑          verb
  𐤉𐤐𐤓𐤇𐤅      H589      𐤀𐤍𐤉          H6524     𐤐𐤓𐤇          verb
  𐤉𐤑𐤅𐤌        H6680     𐤑𐤅𐤄          H6684     𐤑𐤅𐤌          verb
  𐤉𐤑𐤅𐤒        H5462     𐤉𐤑𐤅𐤒        H6694     𐤑𐤅𐤒          verb
  𐤉𐤑𐤓𐤅𐤍𐤉    H3808     𐤋𐤀            H5341     𐤍𐤑𐤓          verb
  𐤉𐤒𐤃𐤕        H3346     𐤉𐤒𐤃𐤀        H3344     𐤉𐤒𐤃          subs
  𐤉𐤒𐤔𐤅        H7185     𐤒𐤔𐤄          H3369     𐤉𐤒𐤔          verb
  𐤉𐤓𐤀𐤅𐤍𐤉    H7200     𐤓𐤀𐤄          H3372     𐤉𐤓𐤀          verb
  𐤉𐤓𐤀𐤌        H7200     𐤓𐤀𐤄          H3372     𐤉𐤓𐤀          verb
  𐤉𐤓𐤀𐤍𐤅      H3820     𐤋𐤁            H3372     𐤉𐤓𐤀          verb
